N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,State_Bihar,State_Gujarat,State_Haryana,State_Karnataka,State_Kerala,State_Madhya Pradesh,State_Maharashtra,State_Odisha,State_Punjab,State_Rajasthan,State_Tamil Nadu,State_Telangana,State_Uttar Pradesh,State_West Bengal,Crop_Cotton,Crop_Groundnut,Crop_Maize,Crop_Millets,Crop_Pulses,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Type_Black Soil,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Red Soil,Soil_Type_Sandy,Fertilizer_DAP,Fertilizer_NPK,Fertilizer_Organic,Fertilizer_Urea,Yield_kg_per_acre
0.5520673926214522,-0.6481222796773403,-0.9262661222912815,-0.7379468234157391,0.5713376752056082,0.07244897407480952,-1.2211736861383233,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1899
-1.2273672757061924,-0.7971661595320055,0.18801518073723836,0.9842809508737973,1.0913366227076633,-0.5005463841557407,-1.3574248412415297,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1002
-1.0148974645625932,-0.7375486075901394,1.3753641101938578,-0.47405708380685857,-0.6527148300827341,0.4078608910878135,0.4138401751001527,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1465
-0.4571642103106448,0.42499365527624955,0.49855259305666194,0.7065022776012914,0.5338119779631924,-1.1713702181817511,1.367598260822597,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,2273
0.8707721093368513,-0.051946760258679274,-0.7070632430069825,1.2065038894918019,1.7775208008547057,-0.7381298253732858,0.6863424853065654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1497
0.2333626759060532,0.9913603987239775,-1.5290740403231038,0.5120572063105373,-1.1995178470436585,-0.9337867769642061,-0.9486713759319108,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,4630
-0.749310200633094,0.12690589556691903,-0.597461803364833,1.4703936291006825,-0.23993216041615453,-1.4229291559415045,1.367598260822597,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1778
0.2333626759060532,-0.8865924874448047,0.5898871260917865,1.2898374914735538,0.15676806757510378,-0.8639092942531624,0.8225936404097717,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1583
-0.005665861630496114,0.693272639014647,-0.798397776042107,-1.2379484353062498,-1.678417221375448,-1.1573947216395417,0.9588447955129781,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,70433
-1.6788656243863411,-1.3933416789506665,-0.7618639628280572,0.47039040531966136,-0.17560239371486946,-1.6744880937012576,0.14133786489374,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,1466
1.3488291844099498,0.5442287591599817,1.740702242334356,0.5953908082922891,1.025219918042454,1.4001211455846196,-1.3574248412415297,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2846
