id,soil_ph,soil_moisture,avg_temperature,total_rainfall,fertilizer_amount,pesticide_usage,sunlight_hours,nitrogen_content,phosphorus_content,potassium_content,irrigation_frequency,crop_type,region,season,harvest_date,field_id,Year,Item,area_harvested,production,yield
0,6.345909858498937,45.1681735034153,18.878330382894767,402.87933515228855,55.482635608849066,9.868763052706154,1965.143907353552,2.322379947953791,1.454562164809046,1.2641967953114357,4,Rice,South,Summer,2021-06-29,F0288,2021,Rice,46449121.0,195241449.38,4203.3
1,5.8832243936417,18.48111402008916,24.39375208800777,1120.2074082677696,217.29575675991416,4.652120970219527,2209.117515383624,2.4984417454666303,0.9859807051939646,1.792261830779768,5,Soybean,East,Autumn,2021-04-28,F0083,2021,Soya beans,12146576.0,12986722.0,1069.2
2,6.773234413341887,38.28913313341693,11.834018987922988,838.4674342133062,285.1881131612515,8.591165790242169,2771.285499302789,1.2278888582391951,0.4030518013485875,1.888120155938798,6,Rice,North,Spring,2021-05-10,F0073,2021,Rice,46449121.0,195241449.38,4203.3
3,8.061032212071208,12.541428896956743,17.721095228561477,182.2669809531517,175.27952933277163,1.3895469408512362,1006.5658405764308,2.102867422583838,0.4579533671932143,0.6401301463019673,5,Wheat,West,Spring,2021-03-22,F0139,2021,Wheat,31125160.0,109586500.0,3520.8
4,6.0999320731742745,26.53988548253487,34.29126511548733,346.1495207389388,152.80395237061975,6.020480824698978,1797.104226329509,1.2208336419322556,0.798760792587621,1.3864822668029555,3,Wheat,Central,Spring,2021-09-25,F0323,2021,Wheat,31125160.0,109586500.0,3520.8
5,4.525543486867335,20.496643267848576,24.040813332109494,175.6476621682626,289.15875336940326,7.616358237885256,2922.50903753463,0.9500961142221548,0.5108183506784048,1.0736449598635098,2,Rice,North,Autumn,2021-05-22,F0040,2021,Rice,46449121.0,195241449.38,4203.3
6,5.387888647731797,20.6235039322944,15.131438243406752,192.51183824476664,51.51765570345308,11.49578625123836,2862.1443441053225,0.5121066969082001,0.9646883719723534,0.8436118113249351,1,Barley,East,Autumn,2021-03-08,F0394,2021,Barley,592470.0,1656340.0,2795.7
7,7.188542189623514,39.7341158228005,10.3414970858823,885.2806162609244,194.55115141914905,7.483245833358448,1449.8950813795227,1.596391326498055,0.7418692506522389,1.4659965251002824,4,Soybean,East,Autumn,2021-01-06,F0072,2021,Soya beans,12146576.0,12986722.0,1069.2
8,5.722097242632094,36.77541694679476,19.8533310707078,1049.3285572321934,179.50111308931332,0.9067839847182696,2587.8253054738907,0.538425456771972,0.7373462177230987,0.9841827056219898,2,Soybean,Central,Summer,2021-03-29,F0097,2021,Soya beans,12146576.0,12986722.0,1069.2
9,5.619735587783771,24.376953073232684,24.68416948643715,362.9395374647868,152.75677796732788,0.1066162063178949,2646.314456145472,1.7543979334213795,0.2998037581492255,1.1508776227812578,6,Rice,North,Spring,2021-03-03,F0304,2021,Rice,46449121.0,195241449.38,4203.3
10,7.547559577509936,31.93934342996498,11.551753417712778,453.2342363639531,140.29085056777484,7.561873733067938,2885.381653094108,2.204092574253517,1.2544953006192434,1.889823590879652,1,Wheat,Central,Autumn,2021-05-09,F0268,2021,Wheat,31125160.0,109586500.0,3520.8
11,4.515279690634332,46.4406279991688,31.032708787492545,650.7333042449907,59.79594550281271,10.121827912624116,1123.1410472943894,2.473327636274811,0.671660273089103,0.9330361010939532,1,Rice,Central,Summer,2021-04-28,F0265,2021,Rice,46449121.0,195241449.38,4203.3
12,7.855592345783736,12.08289624885079,24.812160115798125,1155.6686806061048,197.86997151860203,13.569909195374176,1399.439034017568,1.9287062841401863,1.0489328646059684,0.55004274659232,2,Rice,South,Spring,2021-12-27,F0475,2021,Rice,46449121.0,195241449.38,4203.3
